0 1 2
0 2 2
0 3 1
0 4 -1
0 5 1
0 6 -1
0 7 1
0 8 -1
0 9 -1
0 10 -1
0 11 -1
0 12 -2
0 13 -2
0 14 -2
0 15 -1
0 16 -2
0 17 -1
0 18 -2
0 19 -1
0 20 -2
0 21 -2
0 22 -2
0 23 -2
0 24 -1
0 25 -2
0 26 -2
0 27 -2
0 28 -2
0 29 -1
0 30 -1
0 31 -2
0 32 -1
0 33 -2
0 34 -2
0 35 -2
0 36 -2
0 37 -2
1 0 2
1 2 2
1 4 -1
1 38 2
1 5 1
1 6 -1
1 39 -1
1 8 -1
1 11 -1
1 32 1
2 0 2
2 1 2
2 3 1
2 40 2
2 23 -2
2 41 1
3 0 1
3 2 1
3 11 1
3 15 2
3 31 -2
4 0 -1
4 1 -1
4 6 -1
4 7 1
4 13 2
4 21 -2
4 22 -2
4 27 -2
38 1 2
38 24 1
38 42 1
5 0 1
5 1 1
5 7 1
5 18 -2
6 0 -1
6 1 -1
6 4 -1
6 39 2
6 11 1
6 19 1
6 43 2
6 44 1
6 45 -2
7 0 1
7 4 1
7 5 1
39 1 -1
39 6 2
39 19 1
39 27 -1
39 46 1
39 47 1
39 48 1
39 49 2
40 2 2
8 0 -1
8 1 -1
8 50 2
8 20 -2
8 21 -2
9 0 -1
9 10 2
9 14 2
10 0 -1
10 9 2
11 0 -1
11 1 -1
11 3 1
11 6 1
11 16 -2
11 17 2
12 0 -2
13 0 -2
13 4 2
13 51 -2
13 26 1
14 0 -2
14 9 2
14 23 2
15 0 -1
15 3 2
16 0 -2
16 11 -2
17 0 -1
17 11 2
18 0 -2
18 5 -2
51 13 -2
51 52 2
51 22 -2
51 53 2
51 54 2
51 55 2
51 26 -2
51 27 -2
51 28 -2
51 56 2
51 32 -2
50 8 2
50 20 -2
50 21 -2
52 51 2
19 0 -1
19 6 1
19 39 1
19 46 1
19 48 2
19 43 1
19 44 1
19 35 -2
20 0 -2
20 8 -2
20 50 -2
20 21 2
21 0 -2
21 4 -2
21 8 -2
21 50 -2
21 20 2
22 0 -2
22 4 -2
22 51 -2
22 25 2
22 26 2
23 0 -2
23 2 -2
23 14 2
53 51 2
54 51 2
57 27 2
55 51 2
24 0 -1
24 38 1
24 42 1
25 0 -2
25 22 2
26 0 -2
26 13 1
26 51 -2
26 22 2
27 0 -2
27 4 -2
27 39 -1
27 51 -2
27 57 2
41 2 1
28 0 -2
28 51 -2
29 0 -1
29 44 -1
30 0 -1
31 0 -2
31 3 -2
42 38 1
42 24 1
56 51 2
32 0 -1
32 1 1
32 51 -2
46 39 1
46 19 1
46 43 1
46 44 1
47 39 1
47 48 2
48 39 1
48 19 2
48 47 2
48 43 1
48 44 1
33 0 -2
33 34 2
33 37 2
43 6 2
43 19 1
43 46 1
43 48 1
34 0 -2
34 33 2
34 36 2
34 37 2
44 6 1
44 19 1
44 29 -1
44 46 1
44 48 1
35 0 -2
35 19 -2
36 0 -2
36 34 2
49 39 2
37 0 -2
37 33 2
37 34 2
45 6 -2
